Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17
The Last Dance,2009277538,"""6917529243021806913""",,Legendary,Sidearm,strikes,Energy,Arc,1600,,Range,2,Vault,true,false,3,11,,97,75,75,31,12,0,0,89,491,28,27,67,0,0,0,0,0,0,0,0,0,12,false,0,0,omolon,,,Omolon Adaptive Frame*,QuickDot SAS*,Control SAS,FarPoint SAS,Alloy Magazine*,Light Mag,Moving Target*,Zen Moment*,Vanguard Veteran*,Tier 2: Range*,Kill Tracker*,Crucible Tracker,,,,,,
Taraxippos,1389546626,"""6917529900607219320""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Handling,10,Vault,false,false,6,20,Guardian Games,54,75,60,50,19,0,0,42,200,59,15,79,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Accurized Rounds*,Appended Mag,Outlaw*,Gutshot Straight,Keep Away*,Masterworked: Handling*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
Cantata-57,372697604,"""6917529792542042850""",,Legendary,Hand Cannon,legendaryengram,Energy,Arc,1600,,Handling,3,Vault,true,false,5,16,,85,82,84,56,14,0,0,51,140,25,14,55,0,0,0,0,0,0,0,0,0,22,false,0,0,suros,,,Adaptive Frame*,Hammer-Forged Rifling*,Smallbore,Extended Mag*,Steady Rounds,Rapid Hit*,Moving Target*,Tier 3: Handling*,Suros Synergy*,Kill Tracker*,Crucible Tracker,,,,,,,
Vouchsafe,3242168339,"""6917529841061073349""",,Legendary,Scout Rifle,dreaming,Energy,Void,1600,,Reload Speed,4,Vault,true,false,4,13,,92,73,60,28,20,0,0,47,200,59,16,73,0,0,0,0,0,0,0,0,0,17,false,0,0,,,,Lightweight Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Steady Rounds*,Flared Magwell,Rapid Hit*,Dragonfly*,Counterbalance Stock*,Tier 4: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,
Taraxippos,1389546626,"""6917529900306386285""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Reload Speed,1,Vault,false,false,6,20,Guardian Games,84,75,60,30,19,0,0,42,200,40,18,79,0,0,0,0,0,0,0,0,0,23,false,0,0,omolon,,,Lightweight Frame*,Arrowhead Brake*,Extended Barrel,Extended Mag*,Alloy Magazine,No Distractions*,Hatchling*,Tier 1: Reload Speed*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Trespasser,1234150730,"""6917529799884245335""",,Exotic,Sidearm,seasonpass,Energy,Arc,1600,,,,Vault,true,false,5,17,,100,70,75,59,12,0,0,90,491,33,30,53,0,0,0,0,0,0,0,0,0,29,false,0,0,,,,Unrepentant*,Full Bore*,Ricochet Rounds*,Be the Danger*,Smooth Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Main Ingredient,253196586,"""6917529840052609664""",,Legendary,Fusion Rifle,strikes,Energy,Arc,1600,,Range,3,Vault,true,false,3,11,,88,45,75,64,15,0,0,35,0,24,5,46,780,0,0,0,0,0,0,0,0,4,false,0,0,fotc,,,Precision Frame*,Hitmark IS*,Red Dot 2 MOA,Red Dot Micro,Accelerated Coils*,Particle Repeater,Hip-Fire Grip*,Kill Clip*,Counterbalance Stock*,Tier 3: Range*,Kill Tracker,Crucible Tracker*,,,,,,
Albruna-D,676270382,"""6917529867077805707""",,Legendary,Sniper Rifle,drifter,Energy,Arc,1600,,Stability,1,Vault,true,false,5,19,,75,41,90,86,45,0,0,19,72,31,4,21,0,0,0,0,0,0,0,0,0,18,false,0,0,hakke,,,Aggressive Frame*,Full Bore*,Hammer-Forged Rifling,Appended Mag*,Extended Mag,Explosive Payload*,Opening Shot*,Icarus Grip*,Tier 1: Stability*,Gun and Run,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,,,,,
Syncopation-53,2856514843,"""6917529862970292781""",,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Stasis,1600,,Stability,10,Vault,false,false,5,16,,100,71,29,53,19,0,0,84,390,44,36,58,0,0,0,0,0,0,0,0,0,14,true,27,14,suros,Bonk,,Adaptive Frame*,Arrowhead Brake*,Ricochet Rounds*,Moving Target*,Headseeker*,Hoarfrost Sunrise*,Targeting Adjuster*,*,Suros Synergy*,Kill Tracker,Crucible Tracker*,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Taraxippos,1389546626,"""6917529899812023562""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Handling,10,Vault,true,false,6,20,Guardian Games,64,75,60,40,19,0,0,42,200,59,17,69,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Extended Barrel*,Full Bore,Appended Mag*,Flared Magwell,Zen Moment*,Moving Target,Keep Away*,Focused Fury,Masterworked: Handling*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,
Temptation's Hook,35794111,"""6917529198852120473""",,Legendary,Sword,contact,Power,Arc,1600,,Impact,4,Vault,true,false,3,11,,0,0,48,0,0,0,0,0,0,0,59,0,0,0,0,50,50,50,50,40,0,0,false,0,0,,,,Caster Frame*,Hungry Edge*,Jagged Edge,Tempered Edge,Balanced Guard*,Heavy Guard,Energy Transfer*,Flash Counter*,Tier 5: Impact*,Kill Tracker*,Crucible Tracker,,,,,,,
Sojourner's Tale,599895591,"""6917529865306708002""",,Legendary,Shotgun,seasonpass,Energy,Solar,1600,,Reload Speed,1,Vault,false,false,4,14,,86,35,70,61,12,0,0,40,65,45,7,73,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Pinpoint Slug Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Appended Mag*,Steady Rounds,Moving Target*,Dragonfly*,Tier 1: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,,
Cold Front,2814093983,"""6917529847241050297""",,Legendary,Submachine Gun,events,KineticSlot,Kinetic,1600,,Reload Speed,1,Vault,true,false,5,19,The Dawning,100,34,22,40,14,0,0,22,750,30,28,48,0,0,0,0,0,0,0,0,0,15,false,0,0,hakke,,,Aggressive Frame*,Arrowhead Brake,Chambered Compensator*,Tactical Mag*,Alloy Magazine,Air Assault,Subsistence*,Thresh*,Targeting Adjuster*,Tier 1: Reload Speed*,Dawning Surprise,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,,,,
Taraxippos,1389546626,"""6917529899955461485""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Stability,1,Vault,false,false,6,20,Guardian Games,54,75,60,40,19,0,0,48,200,59,15,84,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Fluted Barrel*,Hammer-Forged Rifling,Accurized Rounds*,Flared Magwell,Outlaw*,Keep Away*,Tier 1: Stability*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Servant Leader,1107446438,"""6917529733151333042""",,Legendary,Scout Rifle,drifter,KineticSlot,Kinetic,1600,,Handling,1,Vault,true,false,4,15,,84,67,45,24,26,0,0,42,260,9,20,29,0,0,0,0,0,0,0,0,0,20,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Chambered Compensator,Extended Mag*,Steady Rounds,Outlaw*,Rampage*,Tier 1: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Gallu RR3,617501162,"""6917529810202675058""",,Legendary,Sniper Rifle,legendaryengram,Energy,Arc,1600,,Handling,1,Vault,true,false,5,17,,89,61,70,58,40,0,0,42,90,17,5,29,0,0,0,0,0,0,0,0,0,12,false,0,0,omolon,,,Adaptive Frame*,Extended Barrel*,Extended Mag*,No Distractions*,Focused Fury*,Tier 1: Handling*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,,,,,,,
Retraced Path,548958835,"""6917529819705298206""",,Legendary,Trace Rifle,30th,Energy,Solar,1600,,Handling,3,Vault,true,false,4,15,,94,100,6,64,16,0,0,80,1000,55,94,74,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Adaptive Frame*,Fluted Barrel*,Smallbore,Light Battery*,Tactical Battery,Killing Wind*,Incandescent*,Tier 3: Handling*,Hot Swap*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Far Future,893527433,"""6917529309278278806""",,Legendary,Sniper Rifle,battlegrounds,Energy,Solar,1600,,Range,5,Vault,true,false,4,13,,62,62,70,63,45,0,0,58,90,42,4,36,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Adaptive Frame*,Chambered Compensator*,Hammer-Forged Rifling,Accurized Rounds*,Extended Mag,Moving Target*,Opening Shot*,Tier 5: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,
Drang (Baroque),502356570,"""6917529874165487224""",,Legendary,Sidearm,dcv,Energy,Solar,1773,,,,Vault,false,false,5,17,,80,70,49,40,13,0,0,65,300,30,21,76,0,0,0,0,0,0,0,0,0,23,false,0,0,,,,Together Forever*,Corkscrew Rifling*,Fluted Barrel,Appended Mag*,Flared Magwell,Moving Target*,Zen Moment*,To Excess*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,
PLUG ONE.1,1289000550,"""6917529899724861785""",,Legendary,Fusion Rifle,nightfall,Energy,Arc,1800,,Reload Speed,6,Vault,false,false,5,16,,100,66,80,68,17,0,0,59,0,37,6,31,780,0,0,0,0,0,0,0,0,8,false,0,6,,,,Precision Frame*,Chambered Compensator*,Polygonal Rifling,Particle Repeater,Projection Fuse*,Compulsive Reloader*,Adrenaline Junkie*,Counterbalance Stock*,Tier 6: Reload Speed*,Stunning Recovery,Vanguard's Vindication*,Kill Tracker*,Crucible Tracker,,,,,
Blast Furnace,3843477312,"""6917529145599792108""",,Legendary,Pulse Rifle,ada,KineticSlot,Kinetic,1600,1060,Stability,10,Vault,true,false,2,5,,80,42,35,83,22,0,0,89,450,36,39,24,0,0,0,0,0,0,0,0,0,27,false,0,39,,,,Aggressive Burst*,Rasmussen ISA,Meyrin RDL*,Tactical Mag,Steady Rounds*,Air Assault*,High-Impact Reserves*,Counterbalance Stock*,Masterworked: Stability*,Kill Tracker,Crucible Tracker*,Base Radiance*,,,,,,
The Ringing Nail,93253474,"""6917529151718725424""",,Legendary,Auto Rifle,ada,Energy,Solar,1600,1060,Stability,10,Vault,true,false,2,5,,69,37,29,75,20,0,0,56,450,47,32,46,0,0,0,0,0,0,0,0,0,10,false,0,2,,,,Precision Frame*,Rasmussen ISA,Meyrin RDL*,High-Caliber Rounds*,Dragonfly*,Rampage*,Bergusian Night*,Masterworked: Stability*,Kill Tracker,Crucible Tracker*,Base Radiance*,,,,,,,
Arc Logic,2723909519,"""6917529844565913927""",,Legendary,Auto Rifle,moon,Energy,Arc,1600,,Reload Speed,1,Vault,true,false,4,14,,47,65,21,53,16,0,0,29,600,67,44,59,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Adaptive Frame*,Full Bore*,Hammer-Forged Rifling,Tactical Mag*,Alloy Magazine,Heating Up*,Frenzy*,Tier 1: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,,
Taraxippos,1389546626,"""6917529900596217143""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Stability,1,Vault,false,false,6,20,Guardian Games,54,75,60,35,19,0,0,48,200,59,15,74,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Corkscrew Rifling*,Fluted Barrel,Alloy Magazine*,Flared Magwell,Zen Moment*,Cascade Point*,Tier 1: Stability*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,,
Premonition,208088207,"""6917529841805444010""",,Legendary,Pulse Rifle,dungeon,Energy,Void,1600,,Range,3,Vault,true,false,4,13,,92,32,33,70,18,0,0,49,340,33,28,26,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,High-Impact Frame*,Corkscrew Rifling,Smallbore*,Extended Mag,Alloy Magazine*,Feeding Frenzy*,High-Impact Reserves*,Counterbalance Stock*,Tier 3: Range*,Kill Tracker*,Crucible Tracker,,,,,,,
Unwavering Duty,3624844116,"""6917529892651644060""",,Legendary,Machine Gun,trials,Power,Solar,1810,,Stability,2,Vault,false,false,5,19,,76,72,41,68,16,0,0,62,450,68,64,50,0,0,0,0,0,0,0,0,0,10,false,0,0,suros,,,Adaptive Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Appended Mag*,Extended Mag,Subsistence*,Cascade Point*,Tier 2: Stability*,Alacrity*,One Quiet Moment,Suros Synergy,Kill Tracker*,Crucible Tracker,,,,,
Goldtusk,3371413057,"""6917529899802363168""",,Legendary,Sword,legendaryengram,Power,Arc,1800,,Impact,2,Vault,false,false,6,20,,0,0,65,0,0,0,0,0,0,0,70,0,0,0,0,30,20,30,50,80,0,0,false,0,0,veist,,,Lightweight Frame*,Jagged Edge*,Tempered Edge,Swordmaster's Guard*,Valiant Charge*,Harmony*,Tier 2: Impact*,To Excess*,Veist Stinger,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Dire Promise,2742838701,"""6917529198327599868""",,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1600,,Stability,10,Vault,true,false,3,10,,99,88,84,47,14,0,0,72,140,49,11,72,0,0,0,0,0,0,0,0,0,10,false,0,248,field-forged,,,Adaptive Frame*,Fastdraw HCS*,HitMark HCS,High-Caliber Rounds,Ricochet Rounds*,Opening Shot*,Rangefinder*,Nectar Dynamo*,Counterbalance Stock*,Masterworked: Stability*,Kill Tracker,Crucible Tracker*,,,,,,
Coriolis Force,3512349612,"""6917529830362363051""",,Legendary,Fusion Rifle,campaign,Energy,Void,1600,,Stability,1,Vault,true,false,4,12,,50,45,100,33,15,0,0,43,0,34,6,41,660,0,0,0,0,0,0,0,0,4,false,0,0,,,,Aggressive Frame*,Fluted Barrel*,Full Bore,Liquid Coils*,Projection Fuse,Killing Wind*,Slideways*,Tier 1: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,
Zephyr,396910433,"""6917529849317375565""",,Legendary,Sword,events,Power,Stasis,1600,,Impact,2,Vault,true,false,5,19,The Dawning,0,0,63,0,0,0,0,0,0,0,60,0,0,0,0,20,50,50,50,40,0,0,false,0,0,,,,Adaptive Frame*,Honed Edge*,Tempered Edge,Balanced Guard*,Heavy Guard,Duelist's Trance*,Cold Steel*,Tier 2: Impact*,Dawning Surprise*,Kill Tracker*,Crucible Tracker,,,,,,,
Riiswalker,108221785,"""6917529777546212418""",,Legendary,Shotgun,ironbanner,KineticSlot,Kinetic,1600,,Handling,5,Vault,true,false,5,16,,54,52,65,52,12,0,0,65,90,62,6,76,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Lightweight Frame*,Smoothbore,Smallbore*,Assault Mag*,Extended Mag,Surplus*,Killing Wind*,Tier 5: Handling*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,,
Redback-5si,1687353095,"""6917529842051216583""",,Legendary,Sidearm,legendaryengram,Energy,Solar,1600,,Range,1,Vault,true,false,5,16,,100,69,43,41,12,0,0,43,360,53,15,77,0,0,0,0,0,0,0,0,0,20,false,0,0,veist,,,Lightweight Frame*,Arrowhead Brake*,Smallbore,Accurized Rounds*,Tactical Mag,Perpetual Motion*,Opening Shot*,Tier 1: Range*,Veist Stinger*,Kill Tracker*,Crucible Tracker,,,,,,,
Coldheart,1345867571,"""6917529766058615110""",,Exotic,Trace Rifle,,Energy,Arc,1600,,,10,Vault,true,false,1,1,,100,100,6,70,16,0,0,70,1000,30,101,25,0,0,0,0,0,0,0,0,0,14,false,0,0,omolon,,,Cold Fusion*,Extended Barrel*,Enhanced Battery*,Longest Winter*,Hand-Laid Stock*,Coldheart Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Goldtusk,3371413057,"""6917529899812023146""",,Legendary,Sword,legendaryengram,Power,Arc,1800,,Impact,4,Vault,false,false,6,20,,0,0,60,0,0,0,0,0,0,0,80,0,0,0,0,30,20,30,50,80,0,0,false,0,0,veist,,,Lightweight Frame*,Enduring Blade*,Tempered Edge,Swordmaster's Guard*,Relentless Strikes*,Whirlwind Blade*,Tier 5: Impact*,To Excess*,Veist Stinger,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Night Watch,3504336176,"""6917529267952251707""",,Legendary,Scout Rifle,gambitprime,KineticSlot,Kinetic,1600,,Range,4,Vault,true,false,3,11,,67,69,60,51,20,0,0,45,200,58,16,60,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Lightweight Frame*,Chambered Compensator*,Corkscrew Rifling,Accurized Rounds*,Extended Mag,Outlaw*,Moving Target*,Tier 4: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,
Thunderlord,3325463374,"""6917529897082936532""",,Exotic,Machine Gun,,Power,Arc,1800,,,10,Vault,true,false,2,4,Festival of the Lost,70,90,41,65,15,0,0,60,450,68,62,60,0,0,0,0,0,0,0,0,0,26,false,0,115,,,,Reign Havoc*,Polygonal Rifling*,Armor-Piercing Rounds*,Lightning Rounds*,Feeding Frenzy*,Kill Tracker*,Crucible Tracker,Thunderlord Catalyst*,,,,,,,,,,
Hung Jury SR4,3832743906,"""6917529900607217207""",,Legendary,Scout Rifle,nightfall,KineticSlot,Kinetic,1800,,Stability,1,Vault,false,false,6,20,,85,67,62,49,22,0,0,66,180,46,16,45,0,0,0,0,0,0,0,0,0,22,false,0,0,omolon,,,Precision Frame*,Chambered Compensator*,Polygonal Rifling,Alloy Magazine*,Flared Magwell,Shoot to Loot*,Firefly*,Tier 1: Stability*,Stunning Recovery*,Vanguard's Vindication,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
Aurvandil FR6,963710795,"""6917529897131850302""",,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1800,,Reload Speed,2,Vault,false,false,5,19,,97,63,95,47,15,0,0,24,0,20,6,28,960,0,0,0,0,0,0,0,0,3,false,0,0,omolon,,,High-Impact Frame*,Arrowhead Brake*,Extended Barrel,Enhanced Battery*,Particle Repeater,Reconstruction*,Elemental Capacitor*,Tier 2: Reload Speed*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,,,,,
Finite Impactor,3813153080,"""6917529747180349540""",,Legendary,Hand Cannon,ironbanner,Energy,Arc,1600,,Range,2,Vault,true,false,5,16,,99,79,84,43,14,0,0,71,140,10,10,60,0,0,0,0,0,0,0,0,0,16,false,0,0,suros,,,Adaptive Frame*,Fastdraw HCS*,Sureshot HCS,High-Caliber Rounds*,Light Mag,Killing Wind*,Iron Grip*,Tier 2: Range*,Skulking Wolf*,Suros Synergy,Kill Tracker*,Crucible Tracker,,,,,,
Eyasluna,235827225,"""6917529897301108853""",keep,Legendary,Hand Cannon,30th,KineticSlot,Stasis,1800,,Reload Speed,5,Vault,false,false,4,15,,96,85,84,56,14,0,0,64,140,50,13,49,0,0,0,0,0,0,0,0,0,10,false,0,2,,,,Adaptive Frame*,HitMark HCS*,Sureshot HCS,Appended Mag*,Flared Magwell,Rapid Hit*,Snapshot Sights*,Tier 5: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,,
Malfeasance,204878059,"""6917529821964695692""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,,,Vault,true,false,2,4,,98,50,78,45,14,0,0,95,180,60,14,24,0,0,0,0,0,0,0,0,0,63,false,0,0,,,,Explosive Shadow*,Corkscrew Rifling*,Extended Mag*,Taken Predator*,Heavy Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
Parasite,2812324400,"""6917529774923123532""",,Exotic,Grenade Launcher,throneworld,Power,Solar,1600,,,,Vault,false,false,5,16,,77,68,0,0,13,100,0,53,120,44,1,47,0,0,0,0,0,0,0,0,0,11,false,0,0,,,,Worm's Hunger*,Volatile Launch*,High-Explosive Ordnance*,Worm Byproduct*,Composite Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,
The Wizened Rebuke,1999697514,"""6917529839906843039""",,Legendary,Fusion Rifle,ironbanner,Energy,Arc,1600,,"Charge Time, Impact",2,Vault,true,false,5,17,,72,82,99,26,15,0,0,33,0,20,5,27,952,0,0,0,0,0,0,0,0,19,false,0,0,,,,High-Impact Frame*,Corkscrew Rifling*,Extended Barrel,Ionized Battery,Liquid Coils*,Under Pressure*,Iron Gaze*,Icarus Grip*,Tier 2: Charge Time*,Skulking Wolf*,Kill Tracker*,Crucible Tracker,,,,,,
True Prophecy,2742838700,"""6917529181167676999""",,Legendary,Hand Cannon,legendaryengram,KineticSlot,Kinetic,1600,,Handling,1,Vault,true,false,3,10,,93,67,92,58,14,0,0,32,120,22,11,41,0,0,0,0,0,0,0,0,0,10,false,0,0,fotc,,,Aggressive Frame*,SteadyHand HCS*,TrueSight HCS,Appended Mag*,Alloy Magazine,Overflow*,Explosive Payload*,Tier 1: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Eyasluna,235827225,"""6917529897313460788""",favorite,Legendary,Hand Cannon,30th,KineticSlot,Stasis,1800,,Stability,4,Vault,true,false,4,15,,96,90,84,59,14,0,0,81,140,45,11,52,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Adaptive Frame*,TrueSight HCS*,Sureshot HCS,Ricochet Rounds*,Light Mag,Perpetual Motion*,Demolitionist*,Targeting Adjuster*,Tier 4: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,
Caretaker,2508948099,"""6917529899812028522""",,Legendary,Sword,seasonpass,Power,Solar,1800,,Impact,3,Vault,false,false,6,20,,0,0,59,0,0,0,0,0,0,0,67,0,0,0,0,20,50,50,50,40,0,0,false,0,0,,,,Adaptive Frame*,Enduring Blade*,Jagged Edge,Tempered Edge,Balanced Guard*,Swordmaster's Guard,Flash Counter*,Assassin's Blade*,Tier 3: Impact*,Noble Deeds*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Chrysura Melo,1337707096,"""6917529854740433614""",,Legendary,Auto Rifle,seasonpass,Energy,Solar,1600,,Range,1,Vault,false,false,4,15,,96,58,33,69,16,0,0,50,360,30,32,25,0,0,0,0,0,0,0,0,0,17,false,0,0,,,,High-Impact Frame*,Chambered Compensator*,Full Bore,Steady Rounds*,Flared Magwell,Dynamic Sway Reduction*,Harmony*,Tier 1: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,
Taraxippos,1389546626,"""6917529900983466718""",,Legendary,Scout Rifle,events,KineticSlot,Strand,1800,,Range,10,Vault,false,false,6,20,Guardian Games,64,75,60,40,19,0,0,52,200,59,17,64,0,0,0,0,0,0,0,0,0,13,false,0,0,omolon,,,Lightweight Frame*,Chambered Compensator*,Hammer-Forged Rifling,Appended Mag*,Steady Rounds,Moving Target*,Offhand Strike,Keep Away*,Masterworked: Range*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,,,
BrayTech Werewolf,2869466318,"""6917529836480063868""",,Legendary,Auto Rifle,events,KineticSlot,Kinetic,1600,,Handling,4,Vault,true,false,5,18,Festival of the Lost,84,47,29,74,16,0,0,51,450,42,34,38,0,0,0,0,0,0,0,0,0,15,false,0,0,,,,Precision Frame*,Chambered Compensator*,Full Bore,Armor-Piercing Rounds*,High-Caliber Rounds,Dynamic Sway Reduction*,Tap the Trigger*,Tier 4: Handling*,Search Party*,Kill Tracker*,Crucible Tracker,,,,,,,
Deafening Whisper,981718087,"""6917529230173951687""",,Legendary,Grenade Launcher,wrathborn,Energy,Void,1600,,Blast Radius,5,Vault,true,false,4,12,,81,63,0,0,13,100,89,28,72,80,1,72,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Wave Frame*,Hard Launch*,Smart Drift Control,High-Velocity Rounds*,Implosion Rounds,Underdog*,Threat Detector*,Tier 5: Blast Radius*,Kill Tracker*,Crucible Tracker,,,,,,,,
IKELOS_SG_v1.0.3,1168625549,"""6917529844713350029""",,Legendary,Shotgun,rasputin,Energy,Solar,1600,,Range,10,Vault,true,false,5,19,,69,72,65,61,12,0,0,39,140,61,7,44,0,0,0,0,0,0,0,0,0,2,false,0,11,,,,Rapid-Fire Frame*,Smoothbore,Smallbore*,Appended Mag,Accurized Rounds*,Offhand Strike*,One-Two Punch*,Freehand Grip*,Masterworked: Range*,Rasputin's Arsenal*,Kill Tracker*,Crucible Tracker,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,
Revoker,654608616,"""6917529194972149457""",,Legendary,Sniper Rifle,crucible,KineticSlot,Kinetic,1600,1060,Handling,10,Vault,true,false,2,7,,82,44,90,98,35,0,0,27,72,30,3,23,0,0,0,0,0,0,0,0,0,2,false,0,0,,,,Aggressive Frame*,Extended Barrel*,Accurized Rounds*,Snapshot Sights*,Reversal of Fortune*,SUROS Modular Shine*,Radar Tuner*,Masterworked: Handling*,Kill Tracker*,Crucible Tracker,,,,,,,,
Fighting Lion,3549153978,"""6917529821964698320""",,Exotic,Grenade Launcher,,Energy,Void,1600,,Reload Speed,10,Vault,true,false,1,1,,90,80,0,0,13,90,50,75,90,30,1,100,0,0,0,0,0,0,0,0,0,12,false,0,52,,,,Delayed Gratification*,Countermass*,Implosion Rounds*,Thin the Herd*,Short-Action Stock*,Fighting Lion Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Vouchsafe,3242168339,"""6917529728001012572""",,Legendary,Scout Rifle,dreaming,Energy,Void,1600,,Reload Speed,1,Vault,true,false,4,13,,77,73,60,33,20,0,0,32,200,56,18,73,0,0,0,0,0,0,0,0,0,10,false,0,1,,,,Lightweight Frame*,Arrowhead Brake*,Chambered Compensator,Appended Mag*,Tactical Mag,Rapid Hit*,Explosive Payload*,Burnished Dreams*,Tier 1: Reload Speed*,Kill Tracker*,Crucible Tracker,,,,,,,
The Huckleberry,2286143274,"""6917529866117169666""",,Exotic,Submachine Gun,,KineticSlot,Kinetic,1600,,,10,Vault,false,false,1,3,,100,49,22,53,15,0,0,51,750,0,37,86,0,0,0,0,0,0,0,0,0,33,false,0,421,tex-mechanica,,,Ride the Bull*,Fluted Barrel*,Ricochet Rounds*,Rampage*,Short-Action Stock*,Huckleberry Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
